#         t          x          y          z         vx         vy         vz
      0.000    -98.600   -119.990   -127.780    -28.430    173.920     93.230
      0.100   -101.050   -102.229   -118.014    -20.580    181.304    102.085
      0.200   -102.619    -83.722   -107.306    -10.784    188.825    112.080
      0.300   -103.078    -64.470    -95.532      1.596    196.223    123.398
      0.400   -102.126    -44.510    -82.553     17.442    202.976    136.191
      0.500    -99.358    -23.958    -68.220     37.927    208.071    150.468
      0.600    -94.240     -3.073    -52.406     64.436    209.620    165.802
      0.700    -86.118     17.626    -35.080     98.005    204.353    180.728
      0.800    -74.337     37.227    -16.451    137.602    187.683    191.837
      0.900    -58.590     54.427      2.835    177.343    156.312    193.888
      1.000    -39.376     67.942     21.659    206.943    113.979    182.604
      1.100    -17.994     77.164     38.899    220.700     70.473    162.185
      1.200      4.095     82.336     53.933    221.063     32.968    138.498
      1.300     25.806     84.152     66.631    213.175      3.340    115.458
      1.400     46.517     83.353     77.134    201.029    -19.306     94.606
      1.500     65.917     80.564     85.675    186.973    -36.482     76.221
      1.600     83.878     76.263     92.492    172.247    -49.531     60.106
      1.700    100.363     70.813     97.794    157.466    -59.472     45.938
      1.800    115.383     64.487    101.761    142.923    -67.043     33.403
      1.900    128.966     57.497    104.542    128.739    -72.774     22.228
      2.000    141.150     50.006    106.263    114.950    -77.045     12.190
      2.100    151.975     42.147    107.028    101.549    -80.134      3.110
      2.200    161.478     34.028    106.926     88.506    -82.241     -5.157
      2.300    169.693     25.740    106.032     75.784    -83.516    -12.726
      2.400    176.649     17.361    104.411     63.341    -84.071    -19.689
      2.500    182.373      8.958    102.121     51.134    -83.988    -26.121
      2.600    186.885      0.592     99.210     39.121    -83.328    -32.085
      2.700    190.204     -7.681     95.725     27.261    -82.139    -37.631
      2.800    192.343    -15.811     91.703     15.511    -80.452    -42.803
      2.900    193.310    -23.748     87.181      3.826    -78.289    -47.639
      3.000    193.109    -31.445     82.190     -7.845    -75.658    -52.170
      3.100    191.739    -38.856     76.761    -19.555    -72.558    -56.424
      3.200    189.193    -45.932     70.918    -31.367    -68.970    -60.423
      3.300    185.457    -52.624     64.688    -43.354    -64.860    -64.184
      3.400    180.509    -58.875     58.093    -55.594    -60.172    -67.714
      3.500    174.321    -64.625     51.157    -68.179    -54.826    -71.009
      3.600    166.851    -69.802     43.904    -81.212    -48.708    -74.054
      3.700    158.050    -74.321     36.360    -94.812    -41.664    -76.813
      3.800    147.854    -78.078     28.559   -109.114    -33.478    -79.222
      3.900    136.184    -80.944     20.539   -124.276    -23.855    -81.178
      4.000    122.946    -82.756     12.354   -140.476    -12.373    -82.509
      4.100    108.027    -83.296      4.082   -157.905      1.580    -82.930
      4.200     91.295    -82.270     -4.155   -176.737     18.924    -81.826
      4.300     72.610    -79.272    -12.159   -196.971     41.039    -78.250
      4.400     51.855    -73.714    -19.603   -218.128     70.118    -70.628
      4.500     29.043    -64.733    -25.917   -238.109    109.503    -55.645
      4.600      4.655    -51.109    -30.044   -249.652    162.992    -26.897
      4.700    -19.445    -31.639    -30.193   -232.344    226.407     23.913
      4.800    -39.253     -7.139    -24.741   -163.825    263.581     85.126
      4.900    -51.480     18.453    -14.502    -80.720    248.260    119.656
      5.000    -56.473     41.376     -2.139    -19.123    210.199    127.610
      5.100    -56.334     60.369     10.329     21.887    169.661    121.746
      5.200    -52.774     75.449     21.963     49.315    131.940    110.934
      5.300    -46.907     86.921     32.405     68.035     97.505     97.904
      5.400    -39.464     95.089     41.486     80.817     65.864     83.715
      5.500    -30.961    100.203     49.110     89.245     36.411     68.764
      5.600    -21.787    102.455     55.206     94.239      8.618     53.166
      5.700    -12.258    101.987     59.710     96.339    -17.967     36.897
      5.800     -2.649     98.900     62.545     95.839    -43.777     19.822
      5.900      6.783     93.247     63.620     92.807    -69.286      1.663
      6.000     15.773     85.031     62.800     86.988    -95.037    -18.063
      6.100     24.004     74.199     59.891     77.631   -121.606    -40.117
      6.200     31.043     60.641     54.602     63.150   -149.536    -65.660
      6.300     36.216     44.211     46.493     40.308   -179.073    -96.512
      6.400     38.333     24.809     34.892      2.024   -208.960   -135.509
      6.500     35.002      2.864     18.842    -68.624   -229.942   -185.493
